id,text,label,label_name,method,source_id
100036,The Finnish department store chain Stockmann Oyj Abp Net profit increased in the first nine months of 2007 to 39.8 million euros (56.8 million euros ) from 37.4 million euros (53.4 million euros ) in the same period of 2006 .,2,positive,bt-de,117
100037,The economic utilisation of Sponda 's real estate portfolio increased from 88.8% in 2006 to 91.2% .,2,positive,bt-de,255
100038,"The company generates a net turnover of about 600 mln Euro $ 775.5 mln annually and employs 6,000.",1,neutral,bt-de,284
100039,"Earnings before taxes decreased to almost EUR 14.5 million , compared to almost EUR 20 million in the previous reporting period .",0,negative,bt-de,349
100040,"Operating profit amounted to EUR 0.6 million , which corresponds to a loss of EUR 19 million in the previous year .",2,positive,bt-de,390
100041,The company also said that a profitability program was launched in Poland in the Oborniki steel frame and sandwich panel plant.,2,positive,bt-de,447
100042,"You must be ready when the window opens, Rosberg said.",1,neutral,bt-de,526
100043,"The subsidiary will be responsible for the filter sale, local installation of filters and after-market services in China.",1,neutral,bt-de,630
100044,"The stock trades both through its MAPs and through the 50-day MAP of SEK 72 .983 over the 200-day MAP of SEK 70 .283 , a bullish indicator .",2,positive,bt-de,732
100045,Net sales per passenger are expected to increase .,2,positive,bt-de,806
100046,Officials did not disclose the value of the contract .,1,neutral,bt-de,1003
100047,Rapala VMC Corporation ( Rapala ) is a Finnish-based company active in the manufacture and distribution of fishing gear and accessories.,1,neutral,bt-de,1343
100048,The CVs of the proposed members will be available on the Internet from 12 March 2008 at www.sampo.com/ir.,1,neutral,bt-de,1422
100049,"Motorola Inc. of the United States came second with deliveries of 217.4 million units for a market share of 21.3 percent, followed by South Korea's Samsung Electronics Co. with shipments of 118.0 million units for a share of 11.6 percent.",1,neutral,bt-de,1678
100050,The solution will be installed in the USA to support the North American operation of the customer.,1,neutral,bt-de,1818
100051,The operating loss amounted to EUR 0.8 million compared to a profit of EUR 0.5 million .,0,negative,bt-de,1884
100052,On 10 April 2006 Scanfil issued a profit warning.,0,negative,bt-de,1907
100053,The Finnish energy company Fortum Oyj said on 13 November 2007 that it had received an environmental permit for the construction of a biofuel-powered combined heat and power plant in the port of Vartan in eastern Stockholm.,2,positive,bt-de,1921
100054,Short term licenses for the games cost as little as $3 when buying a game directly can cost as much as $10 or $15.,1,neutral,bt-de,1959
100055,"The newly designed shredding circuit has been in operation since the beginning of September and its production rate is above an average of 40,000 tonnes per day per week.",1,neutral,bt-de,1979
100056,"October 20, 2010 – Finnish environmental management company Lassila & Tikanoja Oyj HEL: LAT1V, or L&T, said on Monday, it expects a slightly lower operating profit for the entire year 2010 than 2009.",0,negative,bt-de,2012
100057,The reported operating margin was negative 5.9 % .,0,negative,bt-de,2039
100058,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers, which decreased by 6%.",0,negative,bt-de,2047
100059,"The net turnover of GeoSentric in Finland fell to EUR 939,000 between January and March 2009 .",0,negative,bt-de,2117
100060,Total Finnair traffic decreased by 8.7% in terms of passenger-kilometre revenues .,0,negative,bt-de,2136
100061,"The market share on the line between Helsinki in Finland and Tallinn in Estonia decreased by 0.1 percentage points to 24,8 % .",0,negative,bt-de,2151
100062,"The net profit in the three months to March 31 fell to ( x20ac ) 103 million ( US$ 165 million) of ( x20ac ) 131 million the year before , said the Finnish company .",0,negative,bt-de,2153
100063,The net sales of Talentum were below the expected level in September .,0,negative,bt-de,2217
100064,"Seppp+ni+Ni sales increased by 8% to Euro155.2 million, while operating gains increased to Euro31.1 million, compared to Euro17.1 million in 2004.",2,positive,bt-ru,6
100065,"In January-September 2010, Fiskars ' net profit increased by 14 per cent per year to Euro65.4 million and to Euro525.3 million from Euro487.7 million per year.",2,positive,bt-ru,26
100066,Net income from life insurance increased to Euro16.5 million from Euro14.0 million and net income from non-life insurance to Euro22.6 million from Euro15.2 million in 2009.,2,positive,bt-ru,27
100067,"In the first nine months of 2007, the Finnish Stockmann Oyj Abp network rose to 39.8 million euros ($56.8 million), from 37.4 million euros ($53.4 million) for the same period in 2006.",2,positive,bt-ru,117
100068,"Sponda ' s portfolio of shares rose to 91.2 per cent, compared to 88.8 per cent in 2006.",2,positive,bt-ru,255
100069,"The effect before the introduction of taxes fell to almost Euro14.5 million, compared to almost Euro20 million in the previous reporting period.",0,negative,bt-ru,349
100070,"The operating surplus was Euro0.6 million, compared with a loss of Euro19 million a year earlier.",2,positive,bt-ru,390
100071,The company also stated that a profit-making programme had been initiated in Poland on the Obornik steel frame and the sandwich factory.,2,positive,bt-ru,447
100072,"You should be ready when the window opens, said Rosberg.",1,neutral,bt-ru,526
100073,"The subsidiary will be responsible for the sale of filters, the assembly of filters locally and the provision of services in the market in China.",1,neutral,bt-ru,630
100074,Net sales income per passenger is expected to increase.,2,positive,bt-ru,806
100075,The officers did not disclose the value of the contract.,1,neutral,bt-ru,1003
100076,The Rapida VMC Corporation is a Finnish company that manufactures and distributes fishing equipment and supplies.,1,neutral,bt-ru,1343
100077,A summary of the proposed members is available on the Internet from 12 March 2008 at www.sampo.com/ir.,1,neutral,bt-ru,1422
100078,"Motorola Inc. of the United States took second place with the supply of 217.4 million units for 21.3 per cent of the market share, followed by Samsung Electronics Co. with the supply of 118.0 million units for 11.6 per cent.",1,neutral,bt-ru,1678
100079,The solution will be established in the U.S. to support the client's North American operations.,1,neutral,bt-ru,1818
100080,"Total operating losses amounted to Euro0.8 million, compared with a profit of Euro0.5 million.",0,negative,bt-ru,1884
100081,"On April 10, 2006, Scanfil issued a profit warning.",0,negative,bt-ru,1907
100082,"On 13 November 2007, the Finnish energy company Fortum Oyj reported that it had been granted an environmental permit to build a thermal and thermal power plant based on biofuels in Wartan Harbour in eastern Stockholm.",2,positive,bt-ru,1921
100083,"Short-term licences for games are only $3, while buying the game can directly cost $10 or $15.",1,neutral,bt-ru,1959
100084,"Since the beginning of September, the refurbished break-out chain has been put into operation and total production on a weekly basis exceeds an average of 40,000 tons per day.",1,neutral,bt-ru,1979
100085,The operating margin is reported to be negative 5.9 per cent.,0,negative,bt-ru,2039
100086,"The agricultural newspaper Maaseudun Tulevaisus had 318,000 readers, a decrease of 6%.",0,negative,bt-ru,2047
100087,"In January-March 2009, net sales in Finland amounted to Euro939,000.",0,negative,bt-ru,2117
100088,The total traffic volume of Finnair decreased by 8.7 per cent compared with passenger-kilometres.,0,negative,bt-ru,2136
100089,The market share between Helsinki in Finland and Tallinn in Estonia decreased by 0.1 percentage points to 24.8 per cent.,0,negative,bt-ru,2151
100090,"Net profits fell to 103 million (x20ac) three months before 31 March ($ 165 million), compared to 131 million (x20ac) a year earlier, according to a Finnish company.",0,negative,bt-ru,2153
100091,The pure sales of the Talentum in September were smaller than expected.,0,negative,bt-ru,2217
100092,Sales in the clothing chain increased by 8 per cent to EUR 155.2 million and operating profit to EUR 31.1 million from EUR 17.1 million in 2004 .,2,positive,bt-fi,6
100093,"In January to September 2010 Fiskars 's net sales increased by 14 per cent from one year ago to EUR 65,4 million and their net sales to EUR 525.3 million from EUR 487,7 million .",2,positive,bt-fi,26
100094,Net income from life insurance rose to EUR 16.5 million from EUR 14.0 million and net income from non-life insurance to EUR 22.6 million from EUR 15.2 million in 2009 .,2,positive,bt-fi,27
100095,"Over the three-month period , both operating profit and turnover increased from EUR 0.3 million and EUR 13.1 million respectively , compared with the corresponding period in 2005 .",2,positive,bt-fi,99
100096,"The net profit of the Finnish department store chain Stockmann Corporation rose to EUR 39.8 million ( USD 56.8 million ) in the first nine months of 2007 , compared with EUR 37.4 million ( EUR 53.4 million ) in 2006 .",2,positive,bt-fi,117
100097,The economic utilisation rate of Sponda 's real estate portfolio rose to 91.2 per cent from 88.8 per cent in 2006 .,2,positive,bt-fi,255
100098,The company has a turnover of approximately EUR 600 million per year of USD 775.5 million and employs EUR 6 000 .,1,neutral,bt-fi,284
100099,"Profit before taxes decreased to close on EUR 14.5 million , compared with close on EUR 20 million in the previous financial year .",0,negative,bt-fi,349
100100,"Operating profit was EUR 0.6 million , compared with EUR 19 million at a loss one year earlier .",2,positive,bt-fi,390
100101,The company also explained that a profitability programme has been launched at the Oborn steel frame and sandwich panels plant in Poland.,2,positive,bt-fi,447
100102,"The subsidiary is responsible for the sale of the filter , local assembly of filters and the organisation of market services in China .",1,neutral,bt-fi,630
100103,"The share is traded over MAP , and the 50-day MAP 72 .983 is larger than the 200-day MAP 70 . 283 kroner , which is a harsh indicator .",2,positive,bt-fi,732
100104,Net sales per passenger are increasing .,2,positive,bt-fi,806
100105,Rapala VMC Corporation ( Rapala ) is a Finnish company for the manufacture and distribution of fishing equipment and supplies .,1,neutral,bt-fi,1343
100106,The CVs of the proposed members will be available from 12 March 2008 on the Internet at www.sampo.com/ir .,1,neutral,bt-fi,1422
100107,The solution will be installed in the United States to support the customer's North American operations .,1,neutral,bt-fi,1818
100108,"The operating loss was EUR 0.8 million , while the operating profit was EUR 0.5 million .",0,negative,bt-fi,1884
100109,Scanfil issued a performance warning on 10 April 2006 .,0,negative,bt-fi,1907
100110,The Finnish energy company Fortum Corporation reported on 13 November 2007 that it had received an environmental permit to build a biofuel-fired combined heat and power plant in Vartan port in Eastern Stockholm.,2,positive,bt-fi,1921
100111,Short-term licenses for games cost up to $3 when buying the game directly can cost up to $10 or $15.,1,neutral,bt-fi,1959
100112,The redesigned crushing circuit has been operational since the beginning of September and has a total weekly production of more than 40 000 tonnes per day .,1,neutral,bt-fi,1979
100113,The reported EBITDA was negative at 5.9%.,0,negative,bt-fi,2039
100114,"The rural paper The rural area had 318 000 readers , which represents a decrease of 6% .",0,negative,bt-fi,2047
100115,GeoSentric 's net sales decreased to EUR 939 000 in January-March 2009 .,0,negative,bt-fi,2117
100116,Finnair's total traffic decreased by 8.7% in terms of passenger kilometres.,0,negative,bt-fi,2136
100117,Market share on the Helsinki-Tallinn route decreased by 0.1 percentage points to 24.8 per cent in Finland .,0,negative,bt-fi,2151
100118,Talentum 's net sales were lower than expected in September .,0,negative,bt-fi,2217
100119,"The retail chain Sepp+ñol+ñ's sales rose by 8 %s in EUR 155.2 mn , and the cost of operating rose to the EUR 31.1 mn from EUR 17.1 mn in 2004 .",2,positive,bt-tl,6
100120,"In January-September 2010, the net benefit of Fiskars rose by 14 % people-onyear to EUR 65.4 million and paid sales to EUR 525.3 million from EUR 487.7 million .",2,positive,bt-tl,26
100121,"The net income from life insurance has increased to EUR 16.5 mn from EUR 14.0 mn, and net income from non-fe insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",2,positive,bt-tl,27
100122,"The same moving profits and sales for the three-month period have increased , respectively from EUR0 .3 m and EUR13 .1 m, compared with the corresponding time in 2005 .",2,positive,bt-tl,99
100123,The department store chain Stockmann Oyj Abpprop for profit rose to the 39.8 mln euros ($ 56.8 mln ) during the first nine months of 2007 from 37.4 mln euros ( $ 53.4 mln) for the same time in 2006 .,2,positive,bt-tl,117
100124,Spunda portfolio’s property level rose to 91.2 % from 88.8 %s in 2006 .,2,positive,bt-tl,255
100125,"The company produces a net sales of about 600 muln euros $ 775.5 mln annually and employs 6,000 .",1,neutral,bt-tl,284
100126,"The result before taxes dropped to about EUR 14.5 mn, compared with about EUR 20mn during the previous period of accounting .",0,negative,bt-tl,349
100127,"The benefit of operating is EUR 0.6 mn , up from EUR 19mn loss a year earlier.",2,positive,bt-tl,390
100128,The company also said that in Poland a stocking program had been launched in the steel frame of Oborniki and sandwich panel plant.,2,positive,bt-tl,447
100129,"You have to be ready to open the window , Rosberg .",1,neutral,bt-tl,526
100130,"Subsidary will be responsible for sales of filter , local assembly of filters and after market services in China .",1,neutral,bt-tl,630
100131,The net income per passenger is expected to increase.,2,positive,bt-tl,806
100132,Officials did not reveal the value of the contract .,1,neutral,bt-tl,1003
100133,Rapala VMC Corporation (Deara ) is a Finnish - based company that performs the production and distribution of fishing equipment and accessors .,1,neutral,bt-tl,1343
100134,CVs of recommended members are available for viewing from 12 March 2008 on the Internet at www.sampo.com/ir .,1,neutral,bt-tl,1422
100135,The solution will be installed in USA to support the customer operations in North America .,1,neutral,bt-tl,1818
100136,Scanfil issued a profit warning in 10 April 2006 .,0,negative,bt-tl,1907
100137,"The Finnish energy company Fortum Oyj said on November 13 , 2007 it was given an environmental permit to build a biofuel-fired that combined heat and electricity to Vartan harbor in eastern Stockholm .",2,positive,bt-tl,1921
100138,Short-term licenses for the games cost as little as $ 3 while buying the game directly may cost $ 10 or $ 15 .,1,neutral,bt-tl,1959
100139,"The modifiedndom circuit has been operating since September and its total production rate a week is over an average of 40,000 tons a day.",1,neutral,bt-tl,1979
100140,"20 October 2010 - Finnish environmental management company Lasas & Tikanoja Oyj HEL: LAT1V , or LöT , it said Monday that it expected its operating diversion , does not include nonrepetions, so that all 2010 would be less than 2009 .",0,negative,bt-tl,2012
100141,The reported operating limit is negative 5.9 %s.,0,negative,bt-tl,2039
100142,"The financial newspaper Maaseudun Tulevaisuus has 318,000 readers , representing a drop of 6 % .",0,negative,bt-tl,2047
100143,"The Finnish GeoSentric's net sales dropped to the EUR 939,000 in January-March 2009 .",0,negative,bt-tl,2117
100144,The total traffic of the Finnishair 's has been reduced by 8.7 % on the condition of the ventue passenger kilometers. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0,negative,bt-tl,2136
100145,0.1 percent reduced the route between Helsinki in Finland and Tallinn in Estonia to the points of 24.8 % .,0,negative,bt-tl,2151
100146,"The net income for three months to March 31 fell on ( x20ac ) 103 million (US 165 million ) from ( x20ac ) 131 million a year earlier, the Finnish company said .",0,negative,bt-tl,2153
100147,The net sales of ERT in September were smaller than the expected .,0,negative,bt-tl,2217
100148,"Sales of the Sepp+Neel+Nny retail trade chain increased by 8 per cent to Euro155.2 million, and operating profits increased to Euro31.1 million from Euro17.1 million in 2004.",2,positive,bt-ar,6
100149,"In January-September 2010, the net profits of Viscars rose by 14 per cent of the year to Euro65.4 million, and net sales rose to Euro525.3 million from Euro487.7 million.",2,positive,bt-ar,26
100150,"Net income from life insurance increased to Euro16.5 million from Euro14.0 million, and net income from non-life insurance rose to Euro22.6 million from Euro15.2 million in 2009.",2,positive,bt-ar,27
100151,"Operating and sales profits for the three-month period rose from 0.3 metres and 13.1 metres, respectively, compared with the corresponding period in 2005.",2,positive,bt-ar,99
100152,The net profits of Finland ' s management chain increased to Euro39.8 million ($56.8 million) for the first nine months of 2007 from Euro37.4 million ($53.4 million) for the same period in 2006.,2,positive,bt-ar,117
100153,The economic occupancy rate of Sponda ' s portfolio increased to 91.2 per cent from 88.8 per cent in 2006.,2,positive,bt-ar,255
100154,"The company generates net sales of approximately Euro600 million per year amounting to $775.5 million and uses $6,000.",1,neutral,bt-ar,284
100155,"(c) Results before taxes fall to approximately Euro14.5 million, compared with approximately Euro20 million in the previous accounting period.",0,negative,bt-ar,349
100156,"The operating gain was Euro0.6 million, against a loss of Euro19 million a year earlier.",2,positive,bt-ar,390
100157,The company also stated that a profit programme had been launched in Poland at the Uborniki steel and steel plant.,2,positive,bt-ar,447
100158,You have to be ready when you open the window. Roseberg said.,1,neutral,bt-ar,526
100159,"The subsidiary will be responsible for nominated sales, local collection of candidates and post-market services in China.",1,neutral,bt-ar,630
100160,Net sales income per traveller is expected to increase.,2,positive,bt-ar,806
100161,The value of the contract was not disclosed by those responsible.,1,neutral,bt-ar,1003
100162,Rapala VMC Corporation is an existing company in Finland that manufactures and distributes fishing gear and supplies.,1,neutral,bt-ar,1343
100163,The curricula vitae of the proposed members are available from 12 March 2008 onwards on the Internet at www.sampo.com/ir.,1,neutral,bt-ar,1422
100164,The solution will be installed in the United States of America to support client operations in North America.,1,neutral,bt-ar,1818
100165,"Total operational losses amounted to Euro0.8 million, compared with Euro0.5 million.",0,negative,bt-ar,1884
100166,A profit warning was issued on 10 April 2006.,0,negative,bt-ar,1907
100167,"The Finnish Energy Company Fortum Oyj stated on November 13, 2007 that it had obtained an environmental licence to build a shared biofuel thermal and energy plant at Vartan port in eastern Stockholm.",2,positive,bt-ar,1921
100168,"Short-term licences for games cost less than $3, while the purchase of a direct game can cost up to $10 or $15.",1,neutral,bt-ar,1959
100169,"The redesigned crushing circuit has been in operation since the beginning of September, with a total weekly production rate exceeding an average of 40,000 tons per day.",1,neutral,bt-ar,1979
100170,The reported operating margin was negative 5.9 per cent.,0,negative,bt-ar,2039
100171,"There were 318,000 readers of the Masayodon Tulasos agricultural newspaper, representing a 6 per cent decrease.",0,negative,bt-ar,2047
100172,"The net sales of GeoSintric Finland fell to Euro939,000 from January to March 2009.",0,negative,bt-ar,2117
100173,Total traffic in Vinner decreased by 8.7 per cent in terms of passenger earnings.,0,negative,bt-ar,2136
100174,The market share on the Helsinki-Talin road in Estonia declined by 0.1 percentage points to 24.8 per cent.,0,negative,bt-ar,2151
100175,"Net profits in the three months up to March 31 to (x20ac) fell $103 million ($165 million) from (x20ac) $131 million a year earlier, as stated by the Finnish company.",0,negative,bt-ar,2153
100176,The net sales of talent in September were lower than expected.,0,negative,bt-ar,2217
100177,"The net profit of the Finnish department store, Stockmann Oyj Abp, increased from Euro37.4 million (Euro53.4 million) in the same period in 2006 to Euro39.8 million (Euro56.8 million) in the first nine months of 2007.",2,positive,bt-zh,117
100178,The economic occupancy rate of the Sponda portfolio increased from 88.8 per cent in 2006 to 91.2 per cent.,2,positive,bt-zh,255
100179,"The company sells about $600 million per year, $775.5 million per year and employs 6,000 people.",1,neutral,bt-zh,284
100180,"It also states that in Poland, the Oborniki steel frame and sandwich plate factory initiated a profit-making programme.",2,positive,bt-zh,447
100181,"Roseberg says when the window opens, you have to be ready.",1,neutral,bt-zh,526
100182,"The subsidiary will be responsible for Chinese filter sales, local assembly of filters and post-market services.",1,neutral,bt-zh,630
100183,Net sales revenue per passenger is expected to increase.,2,positive,bt-zh,806
100184,Officials did not disclose the value of the contract.,1,neutral,bt-zh,1003
100185,Rapala VMC (Rapala) is a Finnish-based company engaged in the manufacture and distribution of fishing equipment and accessories.,1,neutral,bt-zh,1343
100186,The curricula vitae of the proposed members are available on the Internet at www.sampo.com/ir as of 12 March 2008.,1,neutral,bt-zh,1422
100187,The solution will be installed in the United States to support North American client business.,1,neutral,bt-zh,1818
100188,Scanfil issued a profit warning on 10 April 2006.,0,negative,bt-zh,1907
100189,"Fortum Oyj, a Finnish energy company, said that on November 13, 2007, the country's energy company, was in a state of emergency.",2,positive,bt-zh,1921
100190,"The cost of short-term licences for games is only $3, while the cost of purchasing a full licence for games can be as high as $10 or $15.",1,neutral,bt-zh,1959
100191,"The redesigned shredding circuit has been in operation since early September, with an average output of over 40,000 tons per week.",1,neutral,bt-zh,1979
100192,A negative operating margin of 5.9 per cent was reported.,0,negative,bt-zh,2039
100193,"From January to March 2009, net sales of GeoSentric in Finland decreased to Euro939,000.",0,negative,bt-zh,2117
100194,Finnair's total traffic declined by 8.7 per cent in terms of passenger-carrying kilometre revenue.,0,negative,bt-zh,2136
100195,"The market share along the route between Helsinki, Finland, and Tallinn, Estonia, decreased by 0.1 to 24.8 per cent.",0,negative,bt-zh,2151
100196,Net talent sales in September were lower than expected.,0,negative,bt-zh,2217
